Month,DivisionCode,Division,CPI Index,YoY %
1983-05-01,06,Health,50.0,13.12
1983-05-01,07,Transport,44.0,2.09
1983-05-01,09,"Recreation, Sport & Culture",75.2,-0.4
1983-05-01,overall,Overall CPI,49.4,4.0
1983-06-01,01,Food & Beverages,40.8,0.25
1983-06-01,02,Alcoholic Beverages & Tobacco,26.6,24.88
1983-06-01,03,Clothing & Footwear,102.0,3.66
1983-06-01,04,"Housing, Water, Electricity, Gas & Other Fuels",59.8,5.47
1983-06-01,05,Furnishings & Household Maintenance,67.8,2.73
1983-06-01,06,Health,50.0,12.36
1983-06-01,07,Transport,44.0,2.09
1983-06-01,09,"Recreation, Sport & Culture",75.4,-0.26
1983-06-01,overall,Overall CPI,49.5,3.77
1983-07-01,01,Food & Beverages,40.2,-1.47
1983-07-01,02,Alcoholic Beverages & Tobacco,26.6,24.88
1983-07-01,03,Clothing & Footwear,102.1,3.44
1983-07-01,04,"Housing, Water, Electricity, Gas & Other Fuels",62.0,7.08
1983-07-01,05,Furnishings & Household Maintenance,67.9,2.57
1983-07-01,06,Health,50.0,12.11
1983-07-01,07,Transport,44.1,2.08
1983-07-01,09,"Recreation, Sport & Culture",75.4,-0.26
1983-07-01,overall,Overall CPI,49.6,3.33
1983-08-01,01,Food & Beverages,40.5,-0.98
1983-08-01,02,Alcoholic Beverages & Tobacco,26.7,24.77
1983-08-01,03,Clothing & Footwear,102.4,3.64
1983-08-01,04,"Housing, Water, Electricity, Gas & Other Fuels",62.0,7.27
1983-08-01,05,Furnishings & Household Maintenance,67.9,2.41
1983-08-01,06,Health,50.0,12.11
1983-08-01,07,Transport,44.1,2.08
1983-08-01,09,"Recreation, Sport & Culture",75.4,-0.4
1983-08-01,overall,Overall CPI,49.6,3.12
1983-09-01,01,Food & Beverages,40.7,-0.25
1983-09-01,02,Alcoholic Beverages & Tobacco,26.7,24.77
1983-09-01,03,Clothing & Footwear,102.4,3.64
1983-09-01,04,"Housing, Water, Electricity, Gas & Other Fuels",62.0,7.27
1983-09-01,05,Furnishings & Household Maintenance,67.9,2.57
1983-09-01,06,Health,50.1,12.08
1983-09-01,07,Transport,44.4,2.54
1983-09-01,09,"Recreation, Sport & Culture",75.2,-0.79
1983-09-01,overall,Overall CPI,49.8,3.53
1983-10-01,01,Food & Beverages,40.9,0.99
1983-10-01,02,Alcoholic Beverages & Tobacco,26.7,24.77
1983-10-01,03,Clothing & Footwear,102.7,3.53
1983-10-01,04,"Housing, Water, Electricity, Gas & Other Fuels",62.1,7.25
1983-10-01,05,Furnishings & Household Maintenance,68.0,2.56
1983-10-01,06,Health,50.2,12.3
1983-10-01,07,Transport,44.4,2.54
1983-10-01,09,"Recreation, Sport & Culture",75.3,-0.66
1983-10-01,overall,Overall CPI,49.9,3.96
1983-11-01,01,Food & Beverages,40.9,0.99
1983-11-01,02,Alcoholic Beverages & Tobacco,26.7,5.53
1983-11-01,03,Clothing & Footwear,102.9,3.11
1983-11-01,04,"Housing, Water, Electricity, Gas & Other Fuels",62.2,7.43
1983-11-01,05,Furnishings & Household Maintenance,68.0,1.8
1983-11-01,06,Health,50.2,12.3
1983-11-01,07,Transport,44.5,0.91
1983-11-01,09,"Recreation, Sport & Culture",75.4,0.27
1983-11-01,overall,Overall CPI,50.0,3.09
1983-12-01,01,Food & Beverages,41.7,2.96
1983-12-01,02,Alcoholic Beverages & Tobacco,26.7,4.71
1983-12-01,03,Clothing & Footwear,102.9,2.59
1983-12-01,04,"Housing, Water, Electricity, Gas & Other Fuels",62.2,7.43
1983-12-01,05,Furnishings & Household Maintenance,68.1,1.79
1983-12-01,06,Health,50.3,2.44
1983-12-01,07,Transport,44.5,0.45
1983-12-01,09,"Recreation, Sport & Culture",75.6,0.27
1983-12-01,overall,Overall CPI,50.3,3.29
1984-01-01,01,Food & Beverages,42.5,4.68
1984-01-01,02,Alcoholic Beverages & Tobacco,26.8,4.69
1984-01-01,03,Clothing & Footwear,102.9,2.08
1984-01-01,04,"Housing, Water, Electricity, Gas & Other Fuels",64.1,7.73
1984-01-01,05,Furnishings & Household Maintenance,67.9,0.74
1984-01-01,06,Health,50.4,2.02
1984-01-01,07,Transport,45.8,3.15
1984-01-01,09,"Recreation, Sport & Culture",74.9,-0.53
1984-01-01,overall,Overall CPI,51.2,4.07
1984-02-01,01,Food & Beverages,43.7,9.25
1984-02-01,02,Alcoholic Beverages & Tobacco,26.8,4.28
1984-02-01,03,Clothing & Footwear,103.1,1.98
1984-02-01,04,"Housing, Water, Electricity, Gas & Other Fuels",64.2,7.72
1984-02-01,05,Furnishings & Household Maintenance,67.9,0.59
1984-02-01,06,Health,50.5,1.81
1984-02-01,07,Transport,45.9,3.38
1984-02-01,09,"Recreation, Sport & Culture",74.9,-0.66
1984-02-01,overall,Overall CPI,51.8,5.71
1984-03-01,01,Food & Beverages,42.3,4.96
1984-03-01,02,Alcoholic Beverages & Tobacco,26.8,4.28
1984-03-01,03,Clothing & Footwear,103.2,1.98
1984-03-01,04,"Housing, Water, Electricity, Gas & Other Fuels",64.4,7.69
1984-03-01,05,Furnishings & Household Maintenance,67.9,0.44
1984-03-01,06,Health,50.5,1.2
1984-03-01,07,Transport,46.0,3.37
1984-03-01,09,"Recreation, Sport & Culture",73.5,-2.39
1984-03-01,overall,Overall CPI,51.1,4.07
1984-04-01,01,Food & Beverages,42.2,4.98
1984-04-01,02,Alcoholic Beverages & Tobacco,26.9,1.13
1984-04-01,03,Clothing & Footwear,103.5,2.07
1984-04-01,04,"Housing, Water, Electricity, Gas & Other Fuels",64.4,7.69
1984-04-01,05,Furnishings & Household Maintenance,68.0,0.59
1984-04-01,06,Health,50.5,1.2
1984-04-01,07,Transport,46.3,5.23
1984-04-01,09,"Recreation, Sport & Culture",72.8,-3.45
1984-04-01,overall,Overall CPI,51.1,4.07
1984-05-01,01,Food & Beverages,42.2,3.69
1984-05-01,02,Alcoholic Beverages & Tobacco,27.7,4.14
1984-05-01,03,Clothing & Footwear,103.5,1.77
1984-05-01,04,"Housing, Water, Electricity, Gas & Other Fuels",64.4,7.69
1984-05-01,05,Furnishings & Household Maintenance,68.0,0.44
1984-05-01,06,Health,50.5,1.0
1984-05-01,07,Transport,46.1,4.77
1984-05-01,09,"Recreation, Sport & Culture",72.8,-3.19
1984-05-01,overall,Overall CPI,51.1,3.44
1984-06-01,01,Food & Beverages,42.1,3.19
1984-06-01,02,Alcoholic Beverages & Tobacco,27.7,4.14
1984-06-01,03,Clothing & Footwear,103.6,1.57
1984-06-01,04,"Housing, Water, Electricity, Gas & Other Fuels",64.4,7.69
1984-06-01,05,Furnishings & Household Maintenance,68.0,0.29
1984-06-01,06,Health,50.6,1.2
1984-06-01,07,Transport,46.2,5.0
1984-06-01,09,"Recreation, Sport & Culture",72.7,-3.58
1984-06-01,overall,Overall CPI,51.1,3.23
1984-07-01,01,Food & Beverages,42.2,4.98
1984-07-01,02,Alcoholic Beverages & Tobacco,27.7,4.14
1984-07-01,03,Clothing & Footwear,104.0,1.86
1984-07-01,04,"Housing, Water, Electricity, Gas & Other Fuels",65.9,6.29
1984-07-01,05,Furnishings & Household Maintenance,68.0,0.15
1984-07-01,06,Health,50.7,1.4
1984-07-01,07,Transport,46.2,4.76
1984-07-01,09,"Recreation, Sport & Culture",72.7,-3.58
1984-07-01,overall,Overall CPI,51.5,3.83
1984-08-01,01,Food & Beverages,42.3,4.44
1984-08-01,02,Alcoholic Beverages & Tobacco,27.7,3.75
1984-08-01,03,Clothing & Footwear,104.2,1.76
1984-08-01,04,"Housing, Water, Electricity, Gas & Other Fuels",65.9,6.29
1984-08-01,05,Furnishings & Household Maintenance,68.0,0.15
1984-08-01,06,Health,50.8,1.6
1984-08-01,07,Transport,46.1,4.54
1984-08-01,09,"Recreation, Sport & Culture",72.7,-3.58
1984-08-01,overall,Overall CPI,51.5,3.83
1984-09-01,01,Food & Beverages,42.1,3.44
1984-09-01,02,Alcoholic Beverages & Tobacco,27.7,3.75
1984-09-01,03,Clothing & Footwear,104.2,1.76
1984-09-01,04,"Housing, Water, Electricity, Gas & Other Fuels",65.9,6.29
1984-09-01,05,Furnishings & Household Maintenance,68.0,0.15
1984-09-01,06,Health,50.8,1.4
1984-09-01,07,Transport,46.1,3.83
1984-09-01,09,"Recreation, Sport & Culture",72.6,-3.46
1984-09-01,overall,Overall CPI,51.5,3.41
1984-10-01,01,Food & Beverages,41.9,2.44
1984-10-01,02,Alcoholic Beverages & Tobacco,27.7,3.75
1984-10-01,03,Clothing & Footwear,104.2,1.46
1984-10-01,04,"Housing, Water, Electricity, Gas & Other Fuels",65.9,6.12
1984-10-01,05,Furnishings & Household Maintenance,68.0,0.0
1984-10-01,06,Health,50.8,1.2
1984-10-01,07,Transport,46.1,3.83
1984-10-01,09,"Recreation, Sport & Culture",72.5,-3.72
1984-10-01,overall,Overall CPI,51.4,3.01
1984-11-01,01,Food & Beverages,41.6,1.71
1984-11-01,02,Alcoholic Beverages & Tobacco,27.7,3.75
1984-11-01,03,Clothing & Footwear,104.1,1.17
1984-11-01,04,"Housing, Water, Electricity, Gas & Other Fuels",65.9,5.95
1984-11-01,05,Furnishings & Household Maintenance,68.0,0.0
1984-11-01,06,Health,50.8,1.2
1984-11-01,07,Transport,46.1,3.6
1984-11-01,09,"Recreation, Sport & Culture",72.2,-4.24
1984-11-01,overall,Overall CPI,51.1,2.2
1984-12-01,01,Food & Beverages,41.4,-0.72
1984-12-01,02,Alcoholic Beverages & Tobacco,27.7,3.75
1984-12-01,03,Clothing & Footwear,104.3,1.36
1984-12-01,04,"Housing, Water, Electricity, Gas & Other Fuels",65.9,5.95
1984-12-01,05,Furnishings & Household Maintenance,68.0,-0.15
1984-12-01,06,Health,50.9,1.19
1984-12-01,07,Transport,46.1,3.6
1984-12-01,09,"Recreation, Sport & Culture",72.2,-4.5
1984-12-01,overall,Overall CPI,51.1,1.59
1985-01-01,01,Food & Beverages,41.2,-3.06
1985-01-01,02,Alcoholic Beverages & Tobacco,27.7,3.36
1985-01-01,03,Clothing & Footwear,104.3,1.36
1985-01-01,04,"Housing, Water, Electricity, Gas & Other Fuels",66.9,4.37
1985-01-01,05,Furnishings & Household Maintenance,68.0,0.15
1985-01-01,06,Health,51.3,1.79
1985-01-01,07,Transport,46.3,1.09
1985-01-01,09,"Recreation, Sport & Culture",72.1,-3.74
1985-01-01,overall,Overall CPI,51.2,0.0
1985-02-01,01,Food & Beverages,41.3,-5.49
1985-02-01,02,Alcoholic Beverages & Tobacco,27.7,3.36
1985-02-01,03,Clothing & Footwear,104.3,1.16
1985-02-01,04,"Housing, Water, Electricity, Gas & Other Fuels",66.9,4.21
1985-02-01,05,Furnishings & Household Maintenance,68.0,0.15
1985-02-01,06,Health,51.5,1.98
1985-02-01,07,Transport,46.3,0.87
1985-02-01,09,"Recreation, Sport & Culture",72.1,-3.74
1985-02-01,overall,Overall CPI,51.3,-0.97
1985-03-01,01,Food & Beverages,41.5,-1.89
1985-03-01,02,Alcoholic Beverages & Tobacco,27.7,3.36
1985-03-01,03,Clothing & Footwear,104.4,1.16
1985-03-01,04,"Housing, Water, Electricity, Gas & Other Fuels",66.9,3.88
1985-03-01,05,Furnishings & Household Maintenance,68.0,0.15
1985-03-01,06,Health,51.5,1.98
1985-03-01,07,Transport,46.7,1.52
1985-03-01,09,"Recreation, Sport & Culture",72.1,-1.9
1985-03-01,overall,Overall CPI,51.5,0.78
1985-04-01,01,Food & Beverages,41.2,-2.37
1985-04-01,02,Alcoholic Beverages & Tobacco,27.7,2.97
1985-04-01,03,Clothing & Footwear,104.5,0.97
1985-04-01,04,"Housing, Water, Electricity, Gas & Other Fuels",66.9,3.88
1985-04-01,05,Furnishings & Household Maintenance,68.0,0.0
1985-04-01,06,Health,51.5,1.98
1985-04-01,07,Transport,46.9,1.3
1985-04-01,09,"Recreation, Sport & Culture",72.8,0.0
1985-04-01,overall,Overall CPI,51.3,0.39
1985-05-01,01,Food & Beverages,41.2,-2.37
1985-05-01,02,Alcoholic Beverages & Tobacco,27.7,0.0
1985-05-01,03,Clothing & Footwear,104.7,1.16
1985-05-01,04,"Housing, Water, Electricity, Gas & Other Fuels",66.9,3.88
1985-05-01,05,Furnishings & Household Maintenance,68.1,0.15
1985-05-01,06,Health,51.5,1.98
1985-05-01,07,Transport,46.9,1.74
1985-05-01,09,"Recreation, Sport & Culture",72.9,0.14
1985-05-01,overall,Overall CPI,51.4,0.59
1985-06-01,01,Food & Beverages,41.3,-1.9
1985-06-01,02,Alcoholic Beverages & Tobacco,27.7,0.0
1985-06-01,03,Clothing & Footwear,104.9,1.25
1985-06-01,04,"Housing, Water, Electricity, Gas & Other Fuels",67.0,4.04
1985-06-01,05,Furnishings & Household Maintenance,68.0,0.0
1985-06-01,06,Health,52.0,2.77
